KOD_PRACOVISTE,NAZEV,ADRESA,TELEFON
10,Český úřad zeměměřický a katastrální,"Pod sídlištěm 1800/9, Praha, 18211",284041111
20,Český úřad zeměměřický a katastrální - SCD,"Pod sídlištěm 1800/9, Praha, 18211",284041111
30,Zeměměřický úřad,"Pod sídlištěm 1800/9, Praha, 18211",284041111
100,Katastrální úřad pro hlavní město Prahu,"Pod sídlištěm 1800/9, Praha, 18214",284041111
101,"Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha","Pod sídlištěm 1800/9, Praha, 18214",284041111
200,Katastrální úřad pro Středočeský kraj,"Pod sídlištěm 1800/9, Praha, 18212",284041111
201,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Benešov","Tyršova 1902, Benešov, 25616",317716450
202,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Beroun","Politických vězňů 198/16, Beroun, 26601",311625147
203,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kladno","Ctiborova 3091, Kladno, 27201","312610306, 312610307"
204,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kolín","Rorejcova 8, Kolín, 28002",321737011
205,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kutná Hora","Rudní 432/4, Kutná Hora, 28434",327513203
206,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Mělník","Mladoboleslavská 3671, Mělník, 27601",315636311
207,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Mladá Boleslav","Lukášova 55, Mladá Boleslav, 29301",326722771
208,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Nymburk","Palackého třída 255/54, Nymburk, 28837",325501001
209,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Praha-východ","Pod sídlištěm 1800/9, Praha, 18212",284041111
210,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Praha-západ","Pod sídlištěm 1800/9, Praha, 18213",284041111
211,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Příbram","Pod Šachtami 353, Příbram, 26101",318401611
212,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Rakovník","Na Sekyře 2123, Rakovník, 26901",313521611
231,"Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Slaný","Netovická 376, Slaný, 27401",312522312
299,Zeměměřický a katastrální inspektorát v Praze,"Pod sídlištěm 1800/9, Praha, 18211",284041111
300,Katastrální úřad pro Jihočeský kraj,"Lidická tř. 124/11, České Budějovice, 37086",386713111
301,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště České Budějovice","Lidická tř. 124/11, České Budějovice, 37086",386713111
302,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Český Krumlov","Za Soudem 285, Český Krumlov, 38111",380301841
303,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Jindřichův Hradec","Scheinerova 1114, Jindřichův Hradec, 37711",384370140
304,"Katastrální úřad pro Vysočinu, Katastrální pracoviště Pelhřimov","U Stínadel 1316, Pelhřimov, 39301",565301751
305,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Písek","Nádražní 1988, Písek, 39701",382206811
306,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Prachatice","Za Baštou 232, Prachatice, 38311",388302331
307,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Strakonice","Krále Jiřího z Poděbrad 406, Strakonice, 38641",383313161
308,"Katastrální úřad pro Jihočeský kraj, Katastrální pracoviště Tábor","Štítného 2598, Tábor, 39002",381203011
399,Zeměměřický a katastrální inspektorát v Českých Budějovicích,"Lidická tř. 124/11, České Budějovice, 37086",386713111
400,Katastrální úřad pro Plzeňský kraj,"Radobyčická 2465/12, Plzeň, 30100",377162111
401,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Domažlice","Benešova 377, Domažlice, 34401",379410231
402,"Katastrální úřad pro Karlovarský kraj, Katastrální pracoviště Cheb","Nová 1452/2, Cheb, 35002",354548311
403,"Katastrální úřad pro Karlovarský kraj, Katastrální pracoviště Karlovy Vary","Sokolovská 875/167, Karlovy Vary, 36005",353417111
404,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Klatovy","Kollárova 528, Klatovy, 33901",376350211
405,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Plzeň-město","Radobyčická 2465/12, Plzeň, 30100",377162111
406,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Plzeň-jih","Radobyčická 2465/12, Plzeň, 30100",377162111
407,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Plzeň-sever","Radobyčická 2465/12, Plzeň, 30100",377162111
408,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Rokycany","Srbova 79, Rokycany, 33701",371510011
409,"Katastrální úřad pro Karlovarský kraj, Katastrální pracoviště Sokolov","Boženy Němcové 1932, Sokolov, 35601",352357711
410,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Tachov","Zámecká 1551, Tachov, 34701",374616661
435,"Katastrální úřad pro Plzeňský kraj, Katastrální pracoviště Kralovice","nám. Osvobození 886, Kralovice, 33141",373396403
460,Katastrální úřad pro Karlovarský kraj,"Sokolovská 875/167, Karlovy Vary, 36005",353417111
499,Zeměměřický a katastrální inspektorát v Plzni,"Radobyčická 2465/12, Plzeň, 30100",377162111
500,Katastrální úřad pro Liberecký kraj,"Rumjancevova 149/10, Liberec, 46001",485341400
501,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Česká Lípa","Střelnice 2956, Česká Lípa, 47001",487714700
502,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Děčín","Tržní 1906/24, Děčín, 40590",412557071
503,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Chomutov","Školní 5335, Chomutov, 43001",474611910
504,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Jablonec nad Nisou","Podzimní 3697/26, Jablonec nad Nisou, 46601",483356030
505,"Katastrální úřad pro Liberecký kraj, Katastrální pracoviště Liberec","Rumjancevova 149/10, Liberec, 46001",485341400
506,"Katastrální úřad pro Ústecký kraj, Katastrální pracoviště Litoměřice","Žitenická 1218/3, Litoměřice, 41201",416575300
