KOD;ZKRATKA;TYP_PRAC;NAZEV;NAZEV_ZKRACENY;NADRIZ_PRAC;PLATNOST_OD;PLATNOST_DO;ICO;TELEFON;FAX;EMAIL;TYP_ADRESY;OKRES;OBEC;MESTSKY_OBVOD ;CAST_OBCE;CISLO_DOMOVNI;NAZEV_ULICE;CISLO_ORIENTACNI;PSC;STAT;KOD_PRO_VS
10;ČÚZK;7;Český úřad zeměměřický a katastrální;ČÚZK;;01.01.1993;;25712;284041111;;cuzk@cuzk.gov.cz;1;Hlavní město Praha;Praha;Praha 8;Kobylisy;1800;Pod sídlištěm;9;18211;;
20;ČÚZK-SCD;3;Český úřad zeměměřický a katastrální - SCD;ČÚZK-SCD;10;01.01.1993;;25712;284041111;;cuzk@cuzk.gov.cz;1;Hlavní město Praha;Praha;Praha 8;Kobylisy;1800;Pod sídlištěm;9;18211;ČR;
30;ZÚ;5;Zeměměřický úřad;Zeměměřický úřad;10;01.01.1993;;60458500;284041111;284041416;zu.praha@cuzk.gov.cz;1;Hlavní město Praha;Praha;Praha 8;Kobylisy;1800;Pod sídlištěm;9;18211;;
100;KÚ-PRME;1;Katastrální úřad pro hlavní město Prahu;Hlavní město Praha;10;01.01.2004;;71185224;284041111;284042022;ku.proprahu@cuzk.gov.cz;1;Hlavní město Praha;Praha;Praha 8;Kobylisy;1800;Pod sídlištěm;9;18214;;
101;PRME;2;Katastrální úřad pro hlavní město Prahu, Katastrální pracoviště Praha;Praha;100;01.01.1993;;;284041111;284042022;kp.praha@cuzk.gov.cz;3;Hlavní město Praha;Praha;Praha 8;Kobylisy;1800;Pod sídlištěm;9;18214;;70
200;KÚ-PRVY;1;Katastrální úřad pro Středočeský kraj;Středočeský kraj;10;01.01.1993;;213683;284041111;284043013;ku.prostredokraj@cuzk.gov.cz;1;Hlavní město Praha;Praha;Praha 8;Kobylisy;1800;Pod sídlištěm;9;18212;;
201;BENE;2;Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Benešov;Benešov;200;01.01.1993;;;317716450;;kp.benesov@cuzk.gov.cz;3;Benešov;Benešov;;Benešov;1902;Tyršova;;25616;;1
202;BERO;2;Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Beroun;Beroun;200;01.01.1993;;;311625147;;kp.beroun@cuzk.gov.cz;3;Beroun;Beroun;;Beroun-Město;198;Politických vězňů;16;26601;;2
203;KLAD;2;Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kladno;Kladno;200;01.01.1993;;;312610306, 312610307;;kp.kladno@cuzk.gov.cz;3;Kladno;Kladno;;Kladno;3091;Ctiborova;;27201;;3
204;KOLI;2;Katastrální úřad pro Středočeský kraj, Katastrální pracoviště Kolín;Kolín;200;01.01.1993;;;321737011;;kp.kolin@cuzk.gov.cz;3;Kolín;Kolín;;Kolín IV;8;Rorejcova;;28002;;4
