ID,OKRES_OBEC,KOD_PRACOVISTE,KRAJ_NAZEV
0,Praha-Praha,101,Hlavní město Praha
1,Benešov-Vysoký Újezd,201,Středočeský kraj
2,Benešov-Benešov,201,Středočeský kraj
3,Benešov-Bystřice,201,Středočeský kraj
4,Benešov-Čakov,201,Středočeský kraj
5,Benešov-Čechtice,201,Středočeský kraj
6,Benešov-Čerčany,201,Středočeský kraj
7,Benešov-Červený Újezd,201,Středočeský kraj
8,Benešov-Český Šternberk,201,Středočeský kraj
9,Benešov-Čtyřkoly,201,Středočeský kraj
10,Benešov-Divišov,201,Středočeský kraj
11,Benešov-Dolní Kralovice,201,Středočeský kraj
12,Benešov-Heřmaničky,201,Středočeský kraj
13,Benešov-Hulice,201,Středočeský kraj
14,Benešov-Hvězdonice,201,Středočeský kraj
15,Benešov-Chlum,201,Středočeský kraj
16,Benešov-Chmelná,201,Středočeský kraj
17,Benešov-Chocerady,201,Středočeský kraj
18,Benešov-Chotýšany,201,Středočeský kraj
19,Benešov-Jankov,201,Středočeský kraj
20,Benešov-Javorník,201,Středočeský kraj
21,Benešov-Keblov,201,Středočeský kraj
22,Benešov-Kondrac,201,Středočeský kraj
23,Benešov-Kozmice,201,Středočeský kraj
24,Benešov-Krhanice,201,Středočeský kraj
25,Benešov-Krňany,201,Středočeský kraj
26,Benešov-Křečovice,201,Středočeský kraj
27,Benešov-Křivsoudov,201,Středočeský kraj
28,Benešov-Kuňovice,201,Středočeský kraj
29,Benešov-Lešany,201,Středočeský kraj
30,Benešov-Libež,201,Středočeský kraj
31,Benešov-Loket,201,Středočeský kraj
32,Benešov-Louňovice pod Blaníkem,201,Středočeský kraj
33,Benešov-Maršovice,201,Středočeský kraj
34,Benešov-Mezno,201,Středočeský kraj
35,Benešov-Miličín,201,Středočeský kraj
36,Benešov-Miřetice,201,Středočeský kraj
37,Benešov-Mnichovice,201,Středočeský kraj
38,Benešov-Mrač,201,Středočeský kraj
39,Benešov-Načeradec,201,Středočeský kraj
40,Benešov-Nespeky,201,Středočeský kraj
41,Benešov-Netvořice,201,Středočeský kraj
42,Benešov-Neustupov,201,Středočeský kraj
43,Benešov-Neveklov,201,Středočeský kraj
44,Benešov-Olbramovice,201,Středočeský kraj
45,Benešov-Ostředek,201,Středočeský kraj
46,Benešov-Petroupim,201,Středočeský kraj
47,Benešov-Poříčí nad Sázavou,201,Středočeský kraj
48,Benešov-Postupice,201,Středočeský kraj
49,Benešov-Pravonín,201,Středočeský kraj
50,Benešov-Přestavlky u Čerčan,201,Středočeský kraj
51,Benešov-Psáře,201,Středočeský kraj
52,Benešov-Rabyně,201,Středočeský kraj
53,Benešov-Radošovice,201,Středočeský kraj
54,Benešov-Rataje,201,Středočeský kraj
55,Benešov-Smilkov,201,Středočeský kraj
56,Benešov-Soběhrdy,201,Středočeský kraj
57,Benešov-Struhařov,201,Středočeský kraj
58,Benešov-Střezimíř,201,Středočeský kraj
59,Benešov-Studený,201,Středočeský kraj
60,Benešov-Bílkovice,201,Středočeský kraj
61,Benešov-Tehov,201,Středočeský kraj
62,Benešov-Teplýšovice,201,Středočeský kraj
63,Benešov-Tichonice,201,Středočeský kraj
64,Benešov-Trhový Štěpánov,201,Středočeský kraj
65,Benešov-Týnec nad Sázavou,201,Středočeský kraj
66,Benešov-Veliš,201,Středočeský kraj
67,Benešov-Vlašim,201,Středočeský kraj
68,Benešov-Vojkov,201,Středočeský kraj
69,Benešov-Votice,201,Středočeský kraj
70,Benešov-Vracovice,201,Středočeský kraj
71,Benešov-Vranov,201,Středočeský kraj
72,Benešov-Vrchotovy Janovice,201,Středočeský kraj
73,Benešov-Zdislavice,201,Středočeský kraj
74,Benešov-Kamberk,201,Středočeský kraj
75,Benešov-Zvěstov,201,Středočeský kraj
76,Benešov-Chrášťany,201,Středočeský kraj
77,Benešov-Chlístov,201,Středočeský kraj
78,Benešov-Václavice,201,Středočeský kraj
79,Benešov-Borovnice,201,Středočeský kraj
80,Benešov-Ješetice,201,Středočeský kraj
81,Benešov-Drahňovice,201,Středočeský kraj
82,Benešov-Lštění,201,Středočeský kraj
83,Benešov-Slověnice,201,Středočeský kraj
84,Benešov-Litichovice,201,Středočeský kraj
85,Benešov-Všechlapy,201,Středočeský kraj
86,Benešov-Třebešice,201,Středočeský kraj
